Serie;Codigo_municipio;Nombre;paro_25_44_2022;paro_25_44_2023;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_paro_mayores_25_2022;porcentaje_paro_mayores_25_2023;porcentaje_paro_menores_25_2022;porcentaje_paro_menores_25_2023;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;1132;Pinto;1180;1014;2796;2558;1616;1544;215;224;5.57;5.04;3011;2782;92.86;91.95;7.14;8.05;-22.14;-7.61
Municipios;1147;Piñuécar-Gandullas;4;2;6;4;2;2;2;0;4.35;2.25;8;4;75.00;100.00;25.00;0.00;-50.00;-50.00
Municipios;1150;Pozuelo de Alarcón;658;577;2144;2000;1486;1423;79;83;2.53;2.35;2223;2083;96.45;96.02;3.55;3.98;-19.37;-6.30
Municipios;1163;Pozuelo del Rey;26;27;65;68;39;41;4;9;5.86;6.14;69;77;94.20;88.31;5.80;11.69;-30.30;11.59
Municipios;1179;Prádena del Rincón;2;0;4;5;2;5;0;1;2.72;4.00;4;6;100.00;83.33;0.00;16.67;33.33;50.00
Municipios;1185;Puebla de la Sierra;2;2;2;5;0;3;0;0;2.38;5.05;2;5;100.00;100.00;0.00;0.00;-33.33;150.00
Municipios;9020;Puentes Viejas;11;10;30;28;19;18;0;0;4.30;3.68;30;28;100.00;100.00;0.00;0.00;-26.83;-6.67
Municipios;1198;Quijorna;67;52;179;163;112;111;11;9;5.16;4.45;190;172;94.21;94.77;5.79;5.23;-16.67;-9.47
Municipios;1202;Rascafría;28;20;84;69;56;49;6;5;5.18;4.26;90;74;93.33;93.24;6.67;6.76;-4.26;-17.78
Municipios;1219;Redueña;3;4;13;10;10;6;0;4;4.36;4.61;13;14;100.00;71.43;0.00;28.57;-56.67;7.69
Municipios;1224;Ribatejada;14;13;55;50;41;37;7;2;7.12;5.70;62;52;88.71;96.15;11.29;3.85;-11.43;-16.13
Municipios;1230;Rivas-Vaciamadrid;1608;1483;3854;3765;2246;2282;323;374;4.32;4.13;4177;4139;92.27;90.96;7.73;9.04;-18.31;-0.91
Municipios;1245;Robledillo de la Jara;0;1;6;9;6;8;0;1;5.26;7.41;6;10;100.00;90.00;0.00;10.00;100.00;66.67
