Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Porcentaje de parados registrados en las oficinas de empleo de 25 años y más. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1104;Perales de Tajuña;81.61;92.55;83.78;81.66;86.86;90.14;88.09;88.83;92.31;92.07;91.32;92.78;92.39;94.14;89.57;91.82;94.04;93.68;
Municipios;1111;Pezuela de las Torres;82.61;69.57;86.21;78.95;81.33;81.82;85.56;85.06;86.42;85.25;93.75;94.00;88.64;80.00;89.74;91.23;89.19;94.44;
Municipios;1126;Pinilla del Valle;100.00;93.33;100.00;100.00;87.50;85.71;94.12;100.00;89.47;100.00;100.00;88.89;85.71;100.00;100.00;91.67;100.00;90.00;
Municipios;1132;Pinto;89.90;91.02;88.58;85.84;87.56;87.73;88.51;90.17;90.16;91.67;91.52;92.21;92.63;91.06;91.99;90.95;92.86;91.95;
Municipios;1147;Piñuécar-Gandullas;100.00;100.00;85.71;62.50;63.64;81.82;91.67;93.75;90.00;75.00;81.82;87.50;100.00;71.43;91.67;87.50;75.00;100.00;
Municipios;1150;Pozuelo de Alarcón;93.70;94.12;93.83;93.16;92.48;93.71;94.11;95.87;95.53;96.09;95.89;96.06;96.54;96.19;95.33;94.34;96.45;96.02;
Municipios;1163;Pozuelo del Rey;90.91;80.00;64.86;85.96;82.14;82.02;87.88;90.00;87.72;91.57;96.43;97.06;97.14;96.88;93.67;95.96;94.20;88.31;
Municipios;1179;Prádena del Rincón;100.00;100.00;100.00;85.71;83.33;100.00;100.00;90.91;78.57;100.00;88.89;100.00;100.00;100.00;100.00;100.00;100.00;83.33;
Municipios;1185;Puebla de la Sierra;100.00;100.00;100.00;100.00;88.89;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;
Municipios;9020;Puentes Viejas;86.21;84.21;96.30;96.97;92.16;90.00;83.67;95.65;84.21;88.46;89.36;95.92;87.76;90.70;94.12;92.68;100.00;100.00;
Municipios;1198;Quijorna;92.75;84.13;90.12;84.57;90.45;87.37;89.07;95.39;94.14;95.80;93.40;92.38;90.77;95.51;95.32;92.11;94.21;94.77;
Municipios;1202;Rascafría;90.24;95.00;90.48;86.30;83.90;81.74;86.62;89.84;90.60;93.71;93.97;96.39;92.41;94.67;97.37;90.43;93.33;93.24;
Municipios;1219;Redueña;100.00;85.71;91.67;93.33;100.00;93.33;95.00;80.00;90.48;90.00;92.86;85.71;90.91;100.00;90.91;90.00;100.00;71.43;
Municipios;1224;Ribatejada;77.27;86.36;92.31;83.33;77.19;78.18;82.54;87.88;82.67;90.12;91.67;91.23;94.12;92.86;88.52;88.57;88.71;96.15;
Municipios;1230;Rivas-Vaciamadrid;89.99;88.78;89.30;86.21;88.60;87.40;87.70;89.99;91.01;91.16;92.34;91.63;90.60;90.93;91.73;90.73;92.27;90.96;
Municipios;1245;Robledillo de la Jara;100.00;-;75.00;100.00;50.00;100.00;75.00;69.23;100.00;81.82;85.71;100.00;100.00;100.00;100.00;100.00;100.00;90.00;
Municipios;1258;Robledo de Chavela;90.98;91.67;86.27;84.21;89.00;90.97;89.69;89.00;91.87;90.99;87.88;90.18;93.16;92.12;91.27;83.63;89.94;87.64;
Municipios;1261;Robregordo;-;100.00;100.00;100.00;100.00;100.00;80.00;66.67;80.00;100.00;100.00;-;100.00;100.00;100.00;100.00;100.00;100.00;
Municipios;1277;Rozas de Madrid (Las);95.27;94.70;94.90;93.31;93.20;93.73;93.98;95.44;95.90;95.86;96.01;96.54;95.48;95.79;95.00;94.46;96.94;96.63;
Municipios;1283;Rozas de Puerto Real;95.00;84.62;85.71;80.65;87.04;76.09;77.97;75.00;72.55;81.13;88.33;80.65;84.85;92.86;95.45;88.10;88.89;82.86;
Municipios;1296;San Agustín del Guadalix;90.88;94.49;95.13;89.18;90.22;91.10;91.90;94.51;94.02;93.05;94.92;94.82;92.32;95.64;94.31;94.88;96.82;95.32;
Municipios;1300;San Fernando de Henares;88.52;85.05;87.11;83.23;84.75;84.92;86.92;86.65;88.63;90.32;90.97;91.06;91.86;91.08;91.13;89.54;92.03;92.36;
Municipios;1317;San Lorenzo de El Escorial;90.82;89.92;87.23;87.82;88.32;88.79;91.67;91.49;92.41;91.39;92.97;92.54;92.16;92.25;92.69;90.41;93.49;94.86;
Municipios;1338;San Martín de Valdeiglesias;82.44;82.92;79.18;81.37;81.14;82.95;85.00;85.83;88.36;87.97;90.48;89.68;90.88;91.55;91.23;90.42;90.67;91.56;
